id,Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10,Top 11,Top 12,Top 13,Top 14,Top 15,Top 16,Top 17,Top 18,Top 19,Top 20
53,4011809090,4011801090,4011809010,4011801010,8422409010,8422404000,8422409090,8422902000,8422409030,8431430000,8422409020,8438101000,8433520000,8422909000,8422200000,8419899010,8433590000,8419899020,8419899040,8419899030
54,2935904000,2931901000,3824992210,2930902000,2926903000,2933921000,2933999010,2932999010,2932209091,2833251000,2930202010,2930201010,2934994000,2939801010,2941901000,3808921000,3808911000,2919901010,2918991000,2918301000
55,4707100000,8441400000,4802200000,4802611010,4802619010,4802581010,4802582010,4802589010,4804313000,8441801000,4802549010,4802541010,4802100000,4804312000,4802571010,4802579010,8439303000,4804393000,4804392000,4802559010
55,8441400000,4706100000,8441900000,8441809000,8441801000,4823700000,4706200000,4701001000,8441100000,8439303000,4707200000,8439201000,4812000000,8439209000,8439309000,8439202000,8439100000,4823200000,4822900000,8439910000
56,1702199000,1702202000,2106902000,1702302000,1702402000,1702602000,1702191000,1302191220,1302191120,130219903,1302199020,1302191210,1302191110,2101119000,1702119000,1302199091,1302199032,1302199010,2101111000,1806902910
57,2705000000,2710991020,2710993000,2711110000,2710125000,2710201050,2710209300,2710193000,271020972,271020974,271020975,2710913000,2710911020,2710209410,2710209420,271020971,2710209742,2710209731,2710209751,2710209510
57,2713200000,2713900000,2710209410,2710209420,2709001090,2710209110,2710209220,2710992010,2710209210,2710194010,2710194020,2710209300,2710191010,2710192020,2710209751,271020972,2713120000,2713110000,271020974,2710192010
58,3102101000,2935904000,2931901000,2930902000,2926903000,2933921000,2933999010,2932999010,106909000,106903090,2932209091,2833251000,2930201010,2930202010,2934994000,2939801010,2941901000,3824992210,2919901010,2918301000
58,3102101000,106903090,106909000,2935904000,2931901000,2930902000,2926903000,2933921000,2933999010,2932999010,2932209091,2833251000,2930202010,2930201010,2934994000,2939801010,2941901000,102909090,106195090,106196090
59,8441400000,4706100000,8441900000,8441809000,8441801000,4823700000,4706200000,4701001000,8441100000,8439303000,4707200000,8439201000,4812000000,8439209000,8439309000,8439202000,8439100000,4823200000,4822900000,8439910000
60,5705000000,5701900000,5703900000,5704900000,5702200000,5701100000,5703100000,5704100000,4016910000,5904100000,5704200000,5703390000,5703290000,7013990000,5904900000,5703210000,5703310000,7013910000,5702500000,6304990000
61,8523802010,8473303000,8473309010,8523592010,8523491010,8523499010,8523292010,8523512010,8535902000,8419899050,8485800000,8419899090,8419899080,8485900000,9010501000,8419891000,9506190000,8442300000,8419899070,8419899010
62,3506919000,3506911000,3506999000,3506991000,3506109000,3506101000,3506102000,3005101000,3005109000,3926904000,3707901020,3707902090,3707901090,3707909900,5906100000,3707903000,3707909200,3707901010,3707902010,4811490000
63,3402429000,3402490000,3402410000,3402421000,3402310000,3204200000,3824997300,3824997400,3809100000,2501009090,3402390000,2501009010,2501001010,2501001020,2501009020,3402509000,3707909300,3402903000,3402902000,3402901000
64,810909000,709999000,813409000,805900000,810709000,810100000,2005999000,810903000,813401000,813402000,810500000,810600000,810905000,2005992000,2005991000,2009892000,2005910000,2007919000,2001901000,2009891090
65,8708991040,8708991020,8708991050,8708991010,8708991030,8708959000,8708999000,8708910000,8708930000,8704601010,8704901010,8704909090,8708951000,8714990000,8708100000,8708400000,8704609010,8704609090,8708700000,8708309000
66,901120000,901110000,901210000,901220000,901902000,901901000,2101309000,2101301000,2101111000,2101209011,2101209019,2101209090,2101121000,2101201000,210120901,2101129090,2101129010,2106909010,2101119000,1107209000
67,8534009000,8549399000,8549392000,8549391000,8542312000,8542313000,8542392000,8542311000,8542393000,8542391000,8542321090,8542314000,8542394000,8542332000,8542322000,8542333000,8542323000,8542331000,8542334000,8542324000
69,7322909010,7322909020,8414200000,8414909020,8414400000,7322909030,7322901000,8418610000,9304001000,8414809190,8414809900,8414909090,7322112000,7322192000,8414809110,7322111000,7322191000,8414809230,8414809210,8414109090
70,7204490000,8109390000,8104200000,8102970000,8108300000,7602001000,8103300000,8110200000,8101970000,7204290000,7602009000,7204100000,7204410000,8109310000,7204210000,4707900000,7404000000,8549999000,7503000000,7902000000
71,8807909000,9209309000,9209940000,9209920000,9209301000,8704909090,9208100000,3006921090,9209990000,9706902000,8704901020,9208900000,8704901010,9209910000,8901901000,8807301000,8901902000,9018902010,9018908110,903289409
72,1007900000,1007100000,1104120000,1104192000,1806903091,1104191000,1104199000,1904300000,1904901090,1904909000,4104410000,1904901010,1104220000,1104292000,1104230000,1104299000,1201101000,1104291000,4104110000,8437101000
73,7616100000,7415330000,8202400000,8202200000,8202911000,8202393000,8202999000,8202109000,8202919000,8202392090,7318153000,8202399000,8202101000,7318152000,8202310000,7415109000,7318230000,7318160000,7318130000,7415390000
74,2208906000,2204211000,2204291000,2204221000,2204292000,2204212000,2204222000,2208209000,2204100000,2208201000,2208701000,2208702000,2207101000,2204219000,2204299000,2204229000,2208909000,2208309000,2208600000,2208907000
75,8419899010,8419899020,8419899040,8419899030,8419899050,8438101000,8419899090,8438809000,8438109000,8422409010,8419899080,8422404000,8438501000,8422409090,8422902000,8419891000,8422409030,8419899070,8438400000,8431430000
76,7005292091,7005297010,7005293010,7005294010,7005295010,7005296010,7005291091,7005298010,7005299010,5204190000,7005296020,7005297020,7005294020,7005298020,7005293020,7005292092,7005291092,7005295020,7005299020,7015901000
77,3006922090,3006923000,3006924000,3006925000,3006922031,3006922032,3824992210,300692203,3006922020,3006921090,2939801010,9705290000,382499905,9705210000,9705220000,3824998000,3006600000,3824993990,3824992900,3824992290
78,4011809090,4011801090,4011809010,4011801010,8422409010,8422404000,8422409090,8422902000,8422409030,8431430000,8422409020,8438101000,8433520000,8422909000,8422200000,8419899010,8433590000,8419899020,8419899040,8419899030
80,8412909000,8412901090,8412800000,8704519010,8704529010,8704609090,8704909090,8704529090,8704519090,8704419010,8704439010,8706002000,8706004000,8706005000,8706003000,8706001000,8704609010,8704521020,8704511020,8704511010
81,5107101000,5106101000,8446100000,5112111000,5111111000,8446309000,8446301090,5112191000,5111191000,5801100000,8446290000,5106109000,7019801000,8446301010,7019809000,5107109000,6806102000,6806101000,8446210000,5107209000
82,8542900000,8549999000,8542321090,8549399000,8542392000,8542393000,9403990000,8542391000,8542394000,8549392000,8542321030,8549391000,8543901000,8549319000,9403910000,8542332000,8542322000,8542333000,8542323000,8542331000
83,8708991040,8708991020,8708991050,8708991010,8708991030,8708959000,8708999000,8708910000,8708930000,8704601010,8704901010,8704909090,8708951000,8714990000,8708100000,8708400000,8704609010,8704609090,8708700000,8708309000
84,4817100000,4817300000,4817200000,9403609010,9704000000,4820300000,3926101000,4820900000,9608309000,9608301000,3926109000,9608400000,4820200000,4820500000,9608100000,9608911000,9608999000,3926102000,9608991000,4820400000
85,9018419000,9018411000,9018902090,9018908900,9018908190,9018909000,9018492000,9018491000,9018501090,9018901000,9018209000,9018498000,9018499000,9018902010,9018908110,9018509000,9402101000,9018903000,9018501010,9018493000
86,3915909090,3921199090,3915905000,3915902000,3915901000,3915909030,3915909010,3915904000,3921194090,3921193090,3921192090,3921191090,3915903000,3920999090,3920920000,3920991000,3920930000,3921199020,3920940000,3921194010
87,6205200000,6205900000,4303101900,4303102990,4203109090,4203101090,4203103090,6205301000,6205302000,4303101300,4303101100,4303101600,4303102600,4303102100,4303102920,4203103070,4203103050,4203102000,6105100000,4203109010
88,6810999000,6810992000,6810111000,3816003000,6810993000,2523100000,2523901000,6810112000,2523300000,2523909000,2523290000,2523210000,3816001000,3816009090,8464902000,6810199000,3824400000,3816002000,6810910000,6809900000
89,1007900000,1007100000,1104120000,1104192000,1806903091,1201101000,1104191000,1104199000,1201903000,1904300000,1904909000,1904901090,4104410000,1904901010,1104220000,1104292000,1104230000,1104299000,2005512000,2005511000
91,4011809090,4011801090,4011809010,4011801010,8422409010,8422404000,8422409090,8422902000,8422409030,8431430000,8422409020,8438101000,8433520000,8422909000,8422200000,8419899010,8433590000,8419899020,8419899040,8419899030
92,8466931000,8466940000,8466910000,8466920000,8466939000,8203300000,8467899000,8467891090,8466100000,8467891010,8207801000,8467891020,8207901000,8207703000,8466209000,8466201000,8467810000,8466300000,8441100000,8207709000
93,8542900000,8549999000,8542321090,8549399000,8542392000,8542393000,9403990000,8542391000,8542394000,8549392000,8542321030,8549391000,8543901000,8549319000,9403910000,8542332000,8542322000,8542333000,8542323000,8542331000
94,4203400000,4303102990,4303101900,6217900000,6217100000,4303101300,4303102100,4303101600,4303101100,4303102600,4303102920,4303102200,4303101200,4303900000,6117900000,6117800000,4203101090,4203109090,4203103090,4015902000
95,2811199000,2811299000,2811229090,2811196000,2811192000,2811193000,2825502010,2811120000,2811119000,2811229010,2811111000,2811221000,2825902090,2825901090,2825502090,2825909000,2825309000,2811210000,2825109000,2811291000
96,4707100000,8441400000,4802200000,4802611010,4802619010,4802581010,4802582010,4802589010,4804313000,8441801000,4802549010,4802541010,4802100000,4804312000,4802571010,4802579010,8439303000,4804393000,4804392000,4802559010
97,3006922090,3006923000,3006924000,3006925000,3006921090,3006922031,3006922032,300692203,3006922020,3006922010,3006500000,3006921010,3006910000,8807909000,8704909090,3006600000,8704901020,8704901010,8901901000,3006402000
98,8446100000,8446309000,8446301090,8446290000,8446301010,8446210000,8446303000,8446302000,5911100000,5801360000,5801370000,5801330000,5801320000,5801310000,5007903000,5801900000,6305390000,5515910000,6001920000,5007100000
99,3915909090,3921199090,3915905000,3915902000,3915901000,3915909030,3915909010,3915904000,3921191090,3921194090,3921193090,3921192090,3915903000,3920999090,3920920000,3920991000,3920930000,3921199020,3920940000,3921194010
100,8454309000,8454301090,8454301010,7403299000,7411299000,7407299000,8454909000,7403210000,7403220000,7403291010,7403291020,8454100000,7403199000,8454901000,7411291000,7411221000,7411210000,7403192000,7403191000,7408299000
101,7115909090,7115901090,7113209000,7113203000,7113201000,7113202000,7114200000,7112919000,7115909020,7112929000,7112911000,7112921000,7115909010,7112999000,7112300000,7112991000,7115901010,7114199000,7112992000,7114191000
102,3824992210,3825690000,3824999090,3824992290,3824992900,3824993990,3825610000,3824999051,3824994200,3824996300,3824995100,3824999010,3824996500,3824997200,3824600000,3824999052,3824994300,3824991000,3824997300,3824997400
103,8549999000,8479901020,8543702020,8549399000,8549392000,8549391000,8549319000,8535902000,8549312000,8549311000,8509809000,2716000000,6912002000,8536300000,8546909000,8418291000,8535909000,8526920000,8549919000,8549992000
104,8708991050,8708991030,8708991010,8708991040,8708991020,8708959000,8708999000,8708910000,8708930000,8714990000,8708951000,8704909090,8708100000,8708400000,8704609010,8708700000,8704909010,8708309000,8704609090,8708920000
105,8438101000,8440109000,8438109000,8422409030,8422409010,8422902000,8422404000,8422409090,8438300000,8422901000,8422909000,8437801000,8422409020,8438809000,8422200000,8422190000,8422304000,8438501000,8422110000,8440101000
106,3206190000,3206200000,3206110000,3210001019,3210001099,321000109,3210003090,321000101,3210001011,3210001091,3212909000,3210003010,3210002010,3212901000,3210002040,3210002030,3207100000,2811199000,2811221000,3210002020
107,3915909090,3921199090,3915905000,3915902000,3915901000,3915909030,3915909010,3915904000,3921191090,3921194090,3921193090,3921192090,3915903000,3920999090,3920920000,3920991000,3920930000,3921199020,3920940000,3921194010
108,3006922090,3006923000,3006924000,3006925000,3006921090,3006922031,3006922032,300692203,3006922020,3006922010,3006500000,3006921010,3006910000,8807909000,8704909090,3006600000,8704901020,8704901010,8901901000,3006402000
109,8419899010,8419899020,8419899040,8419899030,8419899050,8438101000,8419899090,8438809000,8438109000,8422409010,8419899080,8422404000,8438501000,8422409090,8422902000,8419891000,8422409030,8419899070,8438400000,8431430000
110,8419899020,8419909030,8419899050,8419899010,8419810000,8419909020,8419899090,8419899080,8419899030,8419899040,8419891000,8419600000,8419899070,8419899060,8419909090,8419509000,8419501000,8419390000,8516210000,8419340000
111,8419899010,8419899020,8419899040,8419899030,8419899050,8438101000,8419899090,8438809000,8438109000,8422409010,8419899080,8422404000,8438501000,8422409090,8422902000,8419891000,8422409030,8419899070,8438400000,8431430000
112,4011809090,4011801090,4011809010,4011801010,8422409010,8422404000,8422409090,8422902000,8422409030,8431430000,8422409020,8438101000,8433520000,8422909000,8422200000,8419899010,8433590000,8419899020,8419899040,8419899030
113,2716000000,8543702020,8548009000,8525602000,8543702090,8543709090,8535902000,8525502000,8548001000,8536300000,8543703000,8525601000,8525501000,8525609000,8543702010,8543701000,8537204000,8525509000,8536909090,8543702040
114,7217900000,7229901090,7229902090,7229909090,7223000000,7326200000,7229200000,7505220000,7505210000,7313001000,7229909010,7229902010,7229901010,7408190000,7313009000,7904003000,7217200000,7217309000,7217100000,731210101
115,4203109090,4203103090,4203101090,4303102990,4303101900,6205200000,4203400000,4203103070,4203103050,4203102000,4203109010,4203101010,4203103010,4303101300,6205900000,4303102600,4303102100,4303101600,4303101100,4303102920
116,8708991050,8708991040,8708991030,8708991020,8708991010,8708959000,8708999000,8704601010,8704901010,8708910000,8708930000,8704909090,8708951000,8708100000,8704609090,8704609010,8708400000,8714990000,8708309000,8704521010
117,9018419000,9018411000,9018902090,9018908900,9018908190,9018909000,9018492000,9018491000,9018501090,9018901000,9018209000,9018498000,9018499000,9018902010,9018908110,9018509000,9402101000,9018903000,9018501010,9018493000
118,3824992210,3824994300,3824996500,3824997100,3824997600,3824993990,3824992900,3824992290,3824999090,2931901000,2930902000,2926903000,3824999051,3824994200,3824996300,3824995100,3824996600,2933921000,2933999010,2932999010
119,4817100000,4817300000,4817200000,9403609010,3926109000,3926101000,9704000000,3926102000,4820300000,8304000000,4820900000,9608309000,9608301000,9608400000,4820200000,4820500000,9608100000,9608911000,9608999000,9608991000
120,9113100000,9113909000,9113901000,9111901000,9113902000,9111100000,9101990000,9114900000,9113200000,9110190000,9101910000,9110120000,7112300000,7113199000,9110110000,7112999000,7113191000,7113192000,7112991000,7115909090
121,4820400000,8604009000,9404100000,8604004000,6814100000,6904900000,4822900000,3923400000,6904100000,4820900000,4822100000,4802551030,6814900000,9404900000,4820200000,4820500000,9404300000,5911900000,8426110000,6903909090
122,8481100000,8481202000,8481400000,8481300000,8481201000,8481900000,8481809000,8481801090,8481801010,8481802000,8481801030,8481801020,8540810000,8540891000,8540899000,6906002000,8540892000,3917400000,8540990000,7307190000
123,6205200000,6203421000,6103109000,6205900000,6103102000,6205301000,6203429000,6205302000,6203490000,6203430000,6211399000,6211329000,6103420000,6103490000,6103430000,6203410000,6103220000,6103101000,6103290000,6103410000
124,7019692000,5603940000,5603910000,5603920000,5603930000,5603149000,5603119000,5801900000,5603129000,5603139000,6210101000,6210102000,8451509000,8451909000,8451809090,8451502000,5802300000,8451100000,8449009000,8451809030
125,8703109000,8703102000,8707902000,8707901000,8707904000,8707903000,8703900000,8707100000,8704909090,8703602000,8703702000,8703502000,8703402000,8703329020,8703321020,8703318000,8703249020,8703338000,8703241020,8703802000
126,3825690000,3824992210,3825610000,3824992290,3824992900,3824993990,3824999090,3824999051,3824994200,3824995100,3824996300,3824999010,3824996500,3824997200,3824600000,3824999052,3824994300,3824991000,3824997400,3824997300
127,4203400000,6217100000,6217900000,4303102990,4303101900,6405900000,4303101300,4303101100,4303102100,4303102600,4303101600,4303102920,6117800000,4303101200,4303102200,6117900000,6209902000,4303900000,6812910000,4015901000
128,8419899010,8419899020,8419899040,8419899030,8419899050,8438101000,8419899090,8438809000,8438109000,8422409010,8419899080,8422404000,8438501000,8422409090,8422902000,8419891000,8422409030,8419899070,8438400000,8431430000
129,8445201010,8445203000,8445202000,8445209000,8445201090,8445909000,8445301000,8445302000,8445309000,8445901000,8445199000,8445902000,8445409000,5308909000,8445120000,8445110000,8445130000,8445191000,5308901000,8445401000
130,3102101000,2929900000,2933929000,2933999090,3101003000,3101001000,3101002000,3105901000,2929109000,2933999010,2933921000,3105590000,3105510000,3105200000,2933991000,3105909000,2933799000,2929101000,3105600000,2933392000
131,8414909020,8414400000,8414909010,8414301000,8414302000,8414200000,8414109090,8414809900,8414909090,8414809190,8414109010,8414101000,8414809110,8414809230,8414809210,8414109020,8414901000,8414599000,8414609000,8414591000
132,5601301000,8445202000,8445209000,8445201090,8445203000,8445201010,5601309000,5601290000,8445309000,5601210000,8445301000,8445120000,5601220000,8445302000,8445409000,8445909000,8445199000,8445401000,8445110000,8445130000
133,7322909010,8805211000,7322909020,8414200000,8805212000,8414909020,8414400000,7322909030,7322901000,8805291090,8805292000,8414809110,8805291010,8418610000,7322192000,7322112000,9304001000,8414809900,8414809190,8414909090
134,8708991040,8708991020,8708991050,8708991010,8708991030,8708959000,8708999000,8708910000,8708930000,8704601010,8704901010,8704909090,8708951000,8714990000,8708100000,8708400000,8704609010,8704609090,8708700000,8708309000
135,6305390000,6305900000,5601290000,5601210000,5601220000,5601301000,5601309000,6305330000,8445209000,8445201090,6305320000,8445202000,8445203000,6305100000,8445309000,8445201010,5901902000,8445199000,8445301000,4202922000
